Symbol	Description
0800.HK	A8 Digital Music Holdings Ltd
0801.HK	Golden Meditech Company Ltd
0802.HK	RCG
0803.HK	Prosperity International Holdings Ltd
0805.HK	
0806.HK	Value Partners Group Ltd
0808.HK	Prosperity Real Estate Investment Trust
0809.HK	Global Bio-chem Technology Group Co. Ltd
0810.HK	China Treasure (Greater China) Investments Ltd
0811.HK	Xinhua Winshare
0812.HK	Tanrich Financial Holdings Ltd
0813.HK	Shimao Property Holdings Ltd
0814.HK	Beijing Jingkelong Co Ltd
0815.HK	Chi Group
0816.HK	Huadian Fuxin Energy Corp
0817.HK	Franshion Properties
0818.HK	Hi Sun Technology (China) Ltd
0819.HK	Tianneng Power International Ltd
0820.HK	HSBC Dragon Fund
0821.HK	Barclays Asian Selection F Ltd H K Fund
0822.HK	Barclays Asian Selection F Ltd Indo Fund
0823.HK	The Link Real Estate Investment Trust
0825.HK	Barclays Asian Selection F Ltd Phil Fund
0826.HK	Tiangong International Company
0827.HK	Barclays Asian Selection F Ltd Se Asia F
0829.HK	Shenguan Holdings Group Ltd
0830.HK	
0831.HK	
0832.HK	korea 1990 Trust The-beneficial Cert.
0833.HK	Alltronics Holdings Ltd
0834.HK	China Kangda Food Company Limited
0835.HK	Nubrands Group Holdings Ltd
0836.HK	China Resources Power Holdings Co. Ltd
0837.HK	China Pharmaceutical Ent & Inv Corp W0110
0838.HK	EVA Precision Industrial Holdings Ltd
0840.HK	Xinjiang Tianye Water Saving Irrigation System Company Ltd
0841.HK	Asia Cassava Resources Holdings Ltd
0842.HK	
0844.HK	
0845.HK	Artfield Group W0403
0847.HK	
0848.HK	Prc-6.125% Notes 100 Due 2003
0850.HK	Wing Shing International Holdings Ltd
0851.HK	MAE Holdings Ltd
0852.HK	Good Fellow Group W0112
0853.HK	Global Tech (holdings) W0408
0854.HK	Willas Array
0855.HK	China Water Affairs Group Ltd
0856.HK	VST Holdings Ltd
0857.HK	PetroChina Co. Ltd
0858.HK	Extrawell Pharmaceutical Holdings Ltd
0859.HK	Henry Group Holdings Ltd
0860.HK	Ming Fung Jewellery Group Ltd
0861.HK	Digital China Holdings Ltd
0862.HK	New World Mobile Holdings Ltd
0863.HK	
0864.HK	
0865.HK	First Mobile Group Holdings Limited
0866.HK	SUNDAY Communications Ltd
0867.HK	Thornton Tiger Fund
0868.HK	Xinyi Glass Holdings Ltd
0869.HK	Playmates Toys Ltd
0871.HK	
0872.HK	Cable & Wireless Plc-us$1000 Bond 2003
0874.HK	Guangzhou Pharmaceutical Co. Ltd
0875.HK	Corasia Group
0876.HK	Wing Lee Holdings Ltd
0877.HK	Asian Development Bank 6.125% Bonds 2004
0878.HK	Soundwill Holdings Ltd
0880.HK	SJM Holdings Ltd
0881.HK	Jf Japan Otc Fund Inc.
0882.HK	Tianjin Development Holdings Ltd
0883.HK	CNOOC Ltd
0884.HK	Cifi Hold
0885.HK	Forefront International Holdings Ltd
0886.HK	Silver Base Group Holdings Ltd
0887.HK	Cable & Wireless Plc-us$10000 Bond 2003
0888.HK	RoadShow Holdings Ltd
0889.HK	Datronix Holdings Ltd
0891.HK	Trinity Ltd
0893.HK	China Vanadium Titano-Magnetite Mining Co Ltd
0894.HK	Man Yue International Holdings Ltd
0895.HK	Dongjiang Environment
0896.HK	Hanison Construction Holdings Ltd
0897.HK	Wai Yuen Tong Medicine Holdings Ltd
0898.HK	Multifield International Holdings Ltd
0899.HK	Asia Resources Holdings Ltd
0900.HK	Aeon Credit Service (Asia) Co. Ltd
0901.HK	Eagleride Inv
0902.HK	Huaneng Power International Inc
0903.HK	TPV Technology Ltd
0904.HK	China Green (Holdings) Ltd
0905.HK	Apex Capital Ltd
0906.HK	CPMC Holdings Ltd
0907.HK	Elegance International Holdings Ltd
0908.HK	Jiuzhou Development Co. Ltd
0910.HK	Good Fellow Group Ltd
0911.HK	Hangfat Ginseng
0912.HK	Suga International Holdings Ltd
0913.HK	Unity Inv Hold
0914.HK	Anhui Conch Cement Co. Ltd
0915.HK	Linmark Group Ltd
0916.HK	China Longyuan Power
0918.HK	Takson Holdings Ltd
0919.HK	Modern Beauty Salon Holdings Ltd
0921.HK	Hisense Kelon
0922.HK	Vision Tech International Holdings Ltd
0923.HK	Integrated Waste Solutions
0925.HK	Peaktop International Holdings Ltd
0926.HK	Egana Jewellery & Pearls Ltd
0927.HK	Fujikon Industrial Holdings Ltd
0928.HK	Tack Fat Group International Ltd
0929.HK	IPE Group Ltd
0931.HK	Artel Solutions Group Holdings Ltd
0932.HK	RM Group
0933.HK	First Sign International Holdings Ltd
0934.HK	Sinopec Kantons Holdings Ltd
0935.HK	
0936.HK	Eagle Legend Asia Limited
0938.HK	Man Sang International Ltd
0939.HK	China Construction Bank Corporation
0941.HK	China Mobile Ltd
0943.HK	eForce Holdings Ltd
0945.HK	Manulife Financial Corporation
0947.HK	Province Of Ontario-7 1/4% N2005-100
0950.HK	
0951.HK	
0952.HK	Quam Ltd
0953.HK	Meike Ltd
0954.HK	
0956.HK	Baden-wurttemberg L-finance Nv 1000b2003
0958.HK	Huaneng Renewables Ltd
0959.HK	A-Max Holdings Ltd
0960.HK	Longfor Properties Co Ltd
0963.HK	Bloomage BioTechnology Corporation
0966.HK	China Taiping
0968.HK	Xinyi Solar Holdings
0969.HK	Hua Lien International (Holding) Co. Ltd
0970.HK	Jade Dynasty Group Ltd
0973.HK	Province Of Ontario 61/4% Dm100000 N2004
0974.HK	SKL
0975.HK	Hk & Shanghai Banking Corp Hk$1000000n03
0976.HK	Chiho-Tiande Group Ltd
0978.HK	Tonic Industries Holdings Ltd
0979.HK	Green Energy Group Ltd
0980.HK	Lianhua Supermarket Holdings Co. Ltd
0981.HK	Semiconductor Manufacturing International Corporation
0982.HK	iOne Holdings Ltd
0983.HK	Shui On Construction and Materials Ltd
0984.HK	AEON Stores (Hong Kong) Co. Ltd
0985.HK	China Sci-Tech Holdings Ltd
0986.HK	Nam Hing Holdings Ltd
0987.HK	J.I.C. Technology Co. Ltd
0988.HK	Sun's Group Ltd
0989.HK	Ground Properties Company
0990.HK	Theme International Holdings Ltd
0991.HK	Datang International Power Generation Co. Ltd
0992.HK	Lenovo Group Ltd
0993.HK	Simsen International Corporation Ltd
0995.HK	Anhui Expressway Co. Ltd
0996.HK	CASH Retail Management Group Ltd
0997.HK	Decca Holdings Ltd
0998.HK	China CITIC Bank Corp Ltd
0999.HK	I.T Ltd
1000.HK	Beijing Media Corporation Ltd
1001.HK	Van Shung Chong Holdings Ltd
1002.HK	V.S. International Group Ltd
1003.HK	GFT Holdings Ltd
1004.HK	Rising Development Holdings Limited
1005.HK	Matrix Holdings Ltd
1006.HK	China Corn Oil
1008.HK	Brilliant CIR
1009.HK	
1011.HK	Regal Hotels International Holdings Ltd Warrants 2007
1013.HK	Plus Holdings Ltd
1019.HK	
1020.HK	
1021.HK	
1022.HK	
1023.HK	
1026.HK	
1027.HK	Jicheng Umbrella Holdings Ltd
1028.HK	
1029.HK	
1030.HK	Future Land Holdings
1031.HK	Golden Resorts Group Ltd
1033.HK	Sinopec Yizheng Chemical Fibre Co. Ltd
1035.HK	
1036.HK	Winsor Properties Holdings Ltd
1037.HK	Daiwa Associate Holdings Ltd
1038.HK	Cheung Kong Infrastructure Holdings Ltd
1039.HK	
1041.HK	Fulbond Holdings Ltd
1043.HK	Coslight Technology International Group Ltd
1044.HK	Hengan International Group Co. Ltd
1045.HK	APT Satellite Holdings Ltd
1046.HK	Universe International Holdings Ltd
1047.HK	Ngai Hing Hong Co. Ltd
1048.HK	Novo Group Limited
1049.HK	Celestial Asia Securities Holdings Ltd
1050.HK	Karrie International Holdings Ltd
1051.HK	Smart Rich Energy Finance (Holdings) Ltd
1052.HK	Yuexiu Transport Infrastructure
1053.HK	Chongqing Iron & Steel Co. Ltd
1055.HK	China Southern Airlines Co. Ltd
1057.HK	Zhejiang Shibao Company
1058.HK	Guangdong Tannery Ltd
1059.HK	Kantone Holdings Ltd
1060.HK	Shanghai Allied Cement Ltd
1061.HK	Hinet Holdings W0302
1062.HK	New Capital International Investment Ltd
1063.HK	SunCorp Technologies Ltd
1064.HK	Zhong Hua International Holdings Ltd
1065.HK	Tianjin Capital Environmental Protection Co. Ltd
1066.HK	Weigao Group
1068.HK	China Yurun Food Group Ltd
1069.HK	
1070.HK	TCL Multimedia Technology Holdings Ltd
1071.HK	Huadian Power International Corporation Ltd
1072.HK	Dongfang Electrical Machinery Co. Ltd
1075.HK	Capinfo
1076.HK	First Natural Foods Holdings Ltd
1079.HK	
1080.HK	Shengli Pipe
1082.HK	
1083.HK	Panva Gas Holdings Ltd
1085.HK	Hengxin Technology Ltd
1086.HK	Goodbaby International Holding
1087.HK	
1088.HK	China Shenhua Energy Co. Ltd
1089.HK	
1090.HK	
1091.HK	CITIC DAMENG
1093.HK	China Pharmaceutical Group Ltd
1094.HK	Sunny Global Holdings Ltd
1096.HK	
1097.HK	i-CABLE Communications Ltd
1098.HK	Road King Infrastructure Ltd
1099.HK	Sinopharm Group Co Ltd
1100.HK	Mainland Headwear Holdings Ltd
1101.HK	China Rongsheng Heavy Industries Group Ltd
1102.HK	
1103.HK	Shanghai Tonva
1104.HK	Shanghai Merchants Holdings Ltd
1105.HK	Sing Tao News Corporation Ltd
1106.HK	
1107.HK	
1108.HK	Luoyang Glass Co Ltd
1109.HK	China Resources Land Ltd
1110.HK	China National Aviation Co. Ltd.
1111.HK	Chong Hing Bank Limited
1112.HK	
1113.HK	
1114.HK	Brilliance China Automotive Holdings Ltd
1115.HK	Tibet 5100 Water Resources Holdings Ltd
1117.HK	China Modern Dairy Holdings
1118.HK	Golik Holdings Ltd
1120.HK	Arts Optical International Holdings Ltd
1121.HK	BAOFENGMODERN
1122.HK	Qingling Motors Co. Ltd
1123.HK	China-Hongkong Photo Products Holdings Ltd
1124.HK	Coastal Greenland Ltd
1125.HK	Lai Fung Holdings Ltd
1126.HK	Dream International Ltd
1127.HK	
1128.HK	Wynn Macau Ltd
1129.HK	Sky Hawk Computer Group Holdings Ltd
1130.HK	Benefun International Holdings Ltd
1131.HK	Kwong Hing International Holdings (Bermuda) Ltd
1132.HK	Golden Harvest Entertainment (Holdings) Ltd
1133.HK	Harbin Power Equipment Co. Ltd
1135.HK	Asia Satellite Telecommunications Holdings Ltd
1136.HK	TCC International Holdings Ltd
1137.HK	City Telecom (H.K.) Ltd
1138.HK	China Shipping Development Co. Ltd
1139.HK	Victory Group
1140.HK	Concepta Investments Ltd
1141.HK	Xin Corporation Ltd
1142.HK	Rontex International Holdings Ltd
1143.HK	
1145.HK	
1146.HK	
1148.HK	
1150.HK	Milan Station Ltd
1151.HK	
1152.HK	
1155.HK	Centron Telecom
1157.HK	Zoomlion
1159.HK	Karce International Holdings Co. Ltd
1160.HK	Grand Investment International Ltd
1161.HK	Water Oasis Group Ltd
1164.HK	Vital BioTech Holdings Ltd
1165.HK	
1166.HK	Solartech International Holdings Ltd
1168.HK	Sinolink Worldwide Holdings Ltd
1169.HK	Haier Electronics Group Co. Ltd
1170.HK	Kingmaker Footwear Holdings Ltd
1171.HK	Yanzhou Coal Mining Co. Ltd
1172.HK	Midas International Holdings Ltd
1173.HK	Veeko International Holdings Ltd
1175.HK	FU JI Food and Catering Services Holdings Ltd
1176.HK	Nam Fong International Holdings Ltd
1177.HK	Sino Biopharmaceutical Ltd
1178.HK	Vitop Bioenergy Holdings Ltd
1180.HK	LifeTec Group Ltd
1181.HK	
1182.HK	Foundation Group Ltd
1184.HK	S.A.S. Dragon Holdings Ltd
1185.HK	China Energine
1186.HK	Value Partners China Greenchip Fund Ltd
1188.HK	Hybrid Kinetic Group Limited
1189.HK	Wing On Travel (Holdings) Ltd
1190.HK	Bakers Group International Holding Ltd
1191.HK	Yueshou Environmental Holdings
1192.HK	Titan Petrochemicals Group Ltd
1193.HK	China Resources Gas
1194.HK	China Precious Metal Resources
1195.HK	Sinotronics Holdings Ltd
1196.HK	Cheong Ming Investments Ltd
1197.HK	China Hengshi Foundation
1198.HK	Chitaly Holdings Ltd
1199.HK	COSCO Pacific Ltd
1200.HK	Midland Holdings Ltd
1201.HK	Kith Holdings Ltd
1202.HK	Chengdu PUTIAN Telecommunications Cable Co. Ltd
1203.HK	Guangnan (Holdings) Ltd
1205.HK	CITIC Resources Holdings Ltd
1206.HK	
1207.HK	SRE Group Limited
1208.HK	Minmetals Resources Ltd
1210.HK	
1211.HK	BYD Co. Ltd
1212.HK	Lifestyle International Holdings Ltd
1213.HK	Mobicon Group Ltd
1215.HK	Guo Xin Group Ltd
1217.HK	Sino Technology Investments Co. Ltd
1218.HK	Easyknit International Holdings Ltd
1219.HK	
1220.HK	Ocean Grand Holdings
1221.HK	Sino Hotels (Holdings) Ltd
1222.HK	Wang On Group Ltd
1223.HK	Symphony Holdings Ltd
1224.HK	C C Land Holdings
1225.HK	Lerado Group (Holding) Co. Ltd
1226.HK	Garron International Ltd
1227.HK	China Financial Industry Investment Fund Ltd
1229.HK	Artfield Group Ltd
1230.HK	
1231.HK	Deutsche Bank AG - Nikkei 225 Index European Wts Jun 2007 A
1232.HK	
1233.HK	
1234.HK	China Lilang Ltd
1235.HK	Deutsche Bank AG - Nikkei 225 Index Euro Put Wts Jun 2007 B
1236.HK	Qianlong Technology International
1237.HK	Merry Garden Ltd
1238.HK	Powerlong Real Estate Holdings Ltd
1239.HK	
1240.HK	Sunley Holdings Ltd
1241.HK	
1243.HK	Wang On PPT
1245.HK	UBS AG - Esprit European Warrants Sep 2007
1246.HK	UBS AG - HSBC European Put Warrants Apr 2007
1247.HK	UBS AG - Jiangxi Copper European Warrants Dec 2007
1249.HK	
1250.HK	Jin Cai Holdings Co Ltd
1251.HK	
1252.HK	Goldman Sachs SP (Asia) - Foxconn European Wts Mar 2007 A
1253.HK	Broad Greenstate International Company Limited
1255.HK	
1258.HK	China Nonferrous Mining
1259.HK	Prince Frog International
1260.HK	J P Morgan Int'l Der. Ltd. - Foxconn European Wts Mar 2007
1262.HK	Chine Lifestyle Food & Beverage
1263.HK	SGA Societe Generale Acceptance N.V. - BOCHK Eu Wts Mar 07 B
1265.HK	
1266.HK	
1268.HK	SGA Societe Generale Acceptance N.V. - N225 Euro Wts Mar 07C
1269.HK	Macquarie Bank Ltd. - BOCHK European Warrants May 2007
1270.HK	
1271.HK	SGA Societe Generale Acceptance N.V. - N225 Eu Put Wt Mar07E
1272.HK	Macquarie Bank Ltd. - CHALCO European Warrants May 2007
1273.HK	Macquarie Bank Ltd. - Jiangxi Copper European Wts May 2007
1277.HK	BNP Paribas Arbit Issu B.V. - HSBC European Wts Apr 2007
1278.HK	
1280.HK	SGA Societe Generale Acceptance N.V. - CHALCO Eur Wt Apr 07B
1281.HK	SGA Societe Generale Acceptance N.V. - CK(H) Euro Wts Mar 07
1282.HK	
1285.HK	
1288.HK	Agricultural Bank of China Ltd
1289.HK	Wuxi Sunlit Science Limited
1290.HK	
1292.HK	
1293.HK	Baoxin Auto Group Limited
1296.HK	
1297.HK	SGA Societe Generale Acceptance N.V. - CP&CC Euro Wts Mar 07
1298.HK	Techcomp (Holdings)
1299.HK	SGA Societe Generale Acceptance N.V. - HSI Euro Wts Mar 07 B
1300.HK	SGA Societe Generale Acceptance N.V. - HSBC Eur Wts Apr 2008
1301.HK	HK Bank - HKEx European Warrants Mar 2007
1302.HK	Lifetech Scientific Corporation
1303.HK	
1305.HK	
1308.HK	Deutsche Bank AG - China Mobile European Warrants Mar 2007
1310.HK	
1312.HK	
1313.HK	China Resources Cement Holdings Ltd
1314.HK	Tsui Wah Holding
1315.HK	
1316.HK	Nexteer
1317.HK	China Maple Leaf Educational Systems Limited
1319.HK	J P Morgan Int'l Der. Ltd. - JX Copper European Wts Mar 2007
1321.HK	J P Morgan Int'l Der. Ltd. - PICC P&C European Wts Mar 2007
1322.HK	J P Morgan Int'l Der. Ltd. - Sh Petrochem Euro Wts Mar 2007
1323.HK	
1326.HK	Pegasus Ent
1327.HK	Time2u International Holding Limited
1328.HK	International Elite Ltd
1329.HK	
1330.HK	SGA Societe Generale Acceptance N.V. - HSBC Eur Wts Apr 07 A
1332.HK	Qualipak International
1333.HK	BOCI Asia Ltd. - CNOOC European Warrants Jun 2007
1335.HK	BOCI Asia Ltd. - Kingboard European Warrants Jun 2007
1336.HK	New China Life Insurance Company
1338.HK	Macquarie Bank Ltd. - HSBC European Put Warrants Mar 2007
1339.HK	Fortis Bank S.A./N.V. - Bank of EA European Wts Jul 2007
1340.HK	Fortis Bank S.A./N.V. - China Mobile European Wts Sep 2007
1341.HK	Clear Lift
1345.HK	
1347.HK	
1348.HK	
1349.HK	
1350.HK	Goldman Sachs SP (Asia) - Foxconn European Put Wts Mar 2007
1355.HK	Macquarie Bank Ltd. - Zijin Mining European Wts Apr 2007
1357.HK	Citigroup Global Mkt H Inc. - HSBC European Wts Mar 2007
1358.HK	Citigroup Global Mkt H Inc. - HSBC European Wts Apr 2007 B
1359.HK	China Cinda
1360.HK	
1361.HK	SGA Societe Generale Acceptance N.V. - PetCh Eur Wts Apr 08
1362.HK	SiS Mobile Holdings Limited
1363.HK	CTEG
1365.HK	
1366.HK	Jiangnan Group Ltd
1367.HK	Hanbo Enterprises Holdings Limited
1368.HK	Xtep International Holdings Ltd
1369.HK	
1370.HK	Calyon Fin P (G) Ltd. - Agile Ppt European Warrants Mar 2007
1371.HK	China Lotsyn
1372.HK	Citigroup Global Mkt H Inc. - Ch Mobile Eur Put Wts Apr 2007
1373.HK	Calyon Fin P (G) Ltd. - Zijin Mining European Wts Mar 2007
1375.HK	Central China Securities
1378.HK	SGA Societe Generale Acceptance N.V. - HSBC Eur Wts Apr 07 B
1380.HK	SGA Societe Generale Acceptance N.V. - SHK Ppt Eu Wt Apr 07A
1381.HK	
1382.HK	Pacific Textiles Holdings Ltd
1383.HK	Hong Long Holdings Ltd
1385.HK	
1386.HK	Walker Group Holdings Ltd
1387.HK	Renhe Commercial Holdings
1388.HK	Embry Holdings Ltd
1389.HK	Major Holding
1395.HK	Ell Env
1396.HK	Hydoo International
1397.HK	Baguio Green
1398.HK	Industrial and Commercial Bank of China Ltd
1400.HK	Wang Tai Holdings
1415.HK	Cowell e Holdings Inc
1418.HK	
1419.HK	Human Health
1420.HK	Chuan Holdings Limited
1421.HK	King Bostrike
1426.HK	
1428.HK	
1430.HK	Sushuang Gas
1431.HK	
1432.HK	
1437.HK	
1439.HK	
1443.HK	
1446.HK	
1447.HK	SFK Construction Holdings
1448.HK	
1450.HK	
1452.HK	Denox Environmental & Technology Holdings
1456.HK	
1457.HK	
1458.HK	
1459.HK	Jujiang Cons
1460.HK	
1461.HK	
1462.HK	Nga Chun Holdings Company
1466.HK	Man Sang Jewellery Holdings
1468.HK	
1469.HK	Get Nice Finance Company Limited
1470.HK	Tic Tac
1476.HK	
1478.HK	
1480.HK	Yan Tat Group
1483.HK	
1486.HK	C Cheng Holdings Limited
1488.HK	
1492.HK	China ZhongDi Dairy Holdings Company
1495.HK	Jiyi Household International Holdings
1496.HK	AP Rentals Holdings Limited
1498.HK	
1499.HK	Leap Holdings Group
1500.HK	
1508.HK	China Reinsurance (Group) Corporation
1509.HK	
1513.HK	
1515.HK	Phoenix Health
1520.HK	Runaway Global
1522.HK	
1523.HK	
1526.HK	
1527.HK	Zhejiang Tengy Environmental Technology
1528.HK	
1530.HK	
1532.HK	China Partytime Culture Holdings
1536.HK	
1537.HK	
1538.HK	Zhong Ao Home Group
1539.HK	Synergy Group
1543.HK	
1547.HK	
1548.HK	Genscript Biotech Corporation
1549.HK	Ever Harvest Group Holdings
1555.HK	MIE Holdings Corporation
1556.HK	Chinney Kin Wing Holdings
1557.HK	KH GP Holdings
1559.HK	Kwan On Holdings
1560.HK	
1561.HK	Manfield Chem
1565.HK	Virscend Education Company Limited
1566.HK	China Animation Characters Company
1568.HK	Sundart Holdings Limited
1570.HK	Weiye Holdings Limited
1572.HK	China Art Fin
1573.HK	China Unienergy Group Ltd
1575.HK	Morris Holdings Limited
1578.HK	
1579.HK	
1581.HK	Progressive Path Group
1583.HK	
1585.HK	
1586.HK	China Leon
1588.HK	
1591.HK	Shun Wo Group Holdings
1596.HK	
1599.HK	
1600.HK	
1606.HK	
1608.HK	Vpower Group
1610.HK	COFCO Meat Holdings Limited
1611.HK	Pantronics Holdings
1612.HK	Vincent Med
1613.HK	
1616.HK	Silverman Holdings Ltd
1617.HK	Nanfang Communication Holdings Limited
1618.HK	MCC
1622.HK	
1623.HK	
1626.HK	
1627.HK	Able Engineering Holdings Limited
1628.HK	Ford Motor Credit Company 10 N0201
1629.HK	MENGKE Holdings
1632.HK	Foodwise Holding
1633.HK	Sheung Yue Group Holdings Limited
1636.HK	CMRU
1637.HK	SH Group Holdings
1638.HK	Kaisa Group
1639.HK	AKM Industrial
1656.HK	
1658.HK	
1660.HK	Sanroc International
1661.HK	
1662.HK	Yee Hop Holdings Limited
1663.HK	Sino Harbour Property Group Limited
1666.HK	Republic Of Italy 100n0205
1668.HK	China South City Holdings Ltd
1669.HK	
1673.HK	
1678.HK	
1680.HK	
1681.HK	
1682.HK	Highlight China IoT International Ltd
1685.HK	Boer Power Holdings Ltd
1689.HK	
1699.HK	China Putian Food Ltd
1700.HK	
1708.HK	
1717.HK	Ausnutria
1718.HK	Wan Kei Group Holdings
1728.HK	Zhentong Auto Services Holding
1733.HK	Winsway
1738.HK	
1766.HK	CSR Corporation Limited
1771.HK	
1776.HK	GF Sec
1777.HK	Fantasia Holdings Group Co Ltd
1778.HK	Colour Life Services Group
1786.HK	CRCC High-Tech Equipment
1788.HK	
1798.HK	Datang Corp Renewable Power
1800.HK	China Communications Construction Co Ltd
1803.HK	
1808.HK	Tai-I International Holdings Ltd
1811.HK	CGN Meiya Power Holdings
1812.HK	CHENMING PAPER
1813.HK	KWG Property Holding Ltd
1816.HK	
1818.HK	Zhaojin Mining Industry Co. Ltd
1822.HK	
1823.HK	Huayu Expressway
1828.HK	Dah Chong Hong Holding Ltd
1829.HK	CMEC
1830.HK	
1831.HK	
1833.HK	Intime Department Store (Group) Company
1836.HK	Stella International Holdings Ltd
1838.HK	China Properties Group Ltd
1848.HK	China Aircraft Leasing Group
1856.HK	Ernest Borel Holdings Limited
1858.HK	
1862.HK	Sino Gold Mining
1866.HK	Neo-Neon Holdings Ltd
1868.HK	Neo-Neon Holdings Ltd
1878.HK	SouthGobi Energy Resources
1880.HK	Belle International Holdings
1881.HK	Regal Real Estate Investment Trust
1882.HK	Haitian International Holdings Ltd
1883.HK	Citic Telecom International Holdings
1884.HK	Eprint Group
1885.HK	
1886.HK	China Huiyuan Juice Group Ltd
1888.HK	Kingboard Laminates Holdings Ltd
1889.HK	Wuyi International Pharmaceutical Co. Ltd
1893.HK	China National Materials Company Ltd
1898.HK	China Coal Energy Co. Ltd
1899.HK	Xingda International Holdings Ltd
1900.HK	China ITS (Holdings) Co Ltd
1908.HK	South West Eco Development
1910.HK	Samsonite International SA
1913.HK	Prada SPA
1918.HK	
1919.HK	China COSCO Holdings Co. Ltd
1928.HK	Sands China Ltd
1929.HK	Chow Tai Fook
1938.HK	Chu Kong Pipe
1958.HK	
1963.HK	
1966.HK	China SCE PPT
1970.HK	IMAX China Holding
1972.HK	Swire Properties Ltd
1979.HK	
1980.HK	
1982.HK	
1986.HK	Tsaker Chemical Group Ltd
1988.HK	Minsheng Bank Corp
1989.HK	Pine Care Group Limited
1991.HK	TA Yang Group Holdings Ltd
1993.HK	Asiaray Media Group Limited
1999.HK	Man Wah Holdings Limited
2000.HK	SIM Technology Group Ltd
2002.HK	China Sunshine Paper Holdings Company Ltd
2005.HK	Lijun International Pharmaceutical (Holding) Co. Ltd
2006.HK	Shanghai Jin Jiang Int'l Hotels (Group) Co. Ltd
2007.HK	Country Garden Holdings Company Ltd
2008.HK	Phoenix Satellite Television Holdings
2009.HK	BBMG Corp
2010.HK	RUINIAN
2011.HK	Kee
2012.HK	
2014.HK	Ozner Water International
2018.HK	AAC Acoustic Technologies Holdings Inc.
2020.HK	Anta Sports
2023.HK	
2028.HK	Jolimark
2030.HK	
2031.HK	
2033.HK	
2038.HK	Foxconn International Holdings Ltd
2039.HK	CIMC
2066.HK	
2068.HK	China Aluminum Intl
2080.HK	
2083.HK	
2086.HK	Advanced Card
2088.HK	Xiwang Sugar Holdings Co. Ltd
2098.HK	
2099.HK	
2100.HK	Baioo
2111.HK	Best Pacific International Holdings
2112.HK	
2113.HK	
2118.HK	Credit Suisse - BOC HK Euro (AR) Wts Jan 2007
2120.HK	SGA Societe Generale Acceptance N.V. - N225 Eu Put Wt Jun07B
2121.HK	
2128.HK	ABN AMRO Bank N.V. - CC Bank European Warrants Sep 2006 B
2133.HK	China Polymetallic Mining
2136.HK	Lifestyle China Group Limited
2138.HK	Union Medical Healthcare Limited
2166.HK	
2168.HK	UBS AG - Jiangxi Copper European Warrants Dec 2006
2178.HK	Macquarie Bank Ltd. - China Life European Wts Mar 2007 B
2183.HK	Lifestyle PPT
2186.HK	Luye Pharma Group Ltd
2188.HK	
2193.HK	KBC Fin Products Int'l Ltd. - ICBC European Wts Jul 2007 G
2196.HK	Shanghai Fosun
2198.HK	SGA Societe Generale Acceptance N.V. - Ch Tel Eur Wt Oct 06
2199.HK	Regina Miracle International
2200.HK	Hosa International
2202.HK	China Vanke Co Limited
2208.HK	Macquarie Bank Ltd. - HSBC European Warrants Mar 2007 B
2211.HK	Jintian Pharm
2212.HK	Future Bright Mining Holdings Limited
2213.HK	
2218.HK	Credit Suisse-sinopec Corp Ec0111
2221.HK	New Concepts Holdings Limited
2222.HK	NVC Lighting Holding Ltd
2223.HK	Macquarie Bank Ltd. - Foxconn European Warrants Jun 2007
2226.HK	
2233.HK	West China Cement Ltd
2236.HK	Wison Engineering Services
2238.HK	Guangzhou Automobile
2239.HK	
2255.HK	SGA Societe Generale Acceptance N.V. - HSI Eu Put Wt Mar 07D
2266.HK	Lis Enterprise
2268.HK	
2277.HK	Macquarie Bank Ltd-hutchison Ec0110
2278.HK	KBC Fin Products Int'l Ltd. - HSI Euro Put Wts Mar 2007 F
2280.HK	HC International
2282.HK	MGM China Holdings Ltd
2283.HK	Macquarie Bank Ltd. - HKEx European Put Warrants May 2007
2286.HK	
2288.HK	SGA Societe Generale Acceptance N.V. - Ping An Eur Wt Apr 07
2289.HK	
2298.HK	Cosmo Lady (China) Holdings
2299.HK	Billion Industrial Holdings Lim
2300.HK	AMVIG Holdings
2302.HK	United Metals Holdings Ltd
2303.HK	
2307.HK	Kam Hing International Holdings Ltd
2308.HK	
2309.HK	Birmingham International Holdings
2310.HK	Kwang Sung Electronics H.K. Co. Ltd
2312.HK	China Finance Leasing
2313.HK	Shenzhou International Group Holdings Ltd
2314.HK	Lee & Man Paper Manufacturing Ltd
2317.HK	Vedan International (Holdings) Ltd
2318.HK	Ping An Insurance (Group) Co. of China Ltd
2319.HK	Mengniu Dairy
2320.HK	Hop Fung Group Holdings Ltd
2322.HK	Sam Woo Holdings Ltd
2323.HK	Topsearch International Holdings Ltd
2324.HK	Sino Katalytics Investment Corporation
2326.HK	BEP International Holdings Ltd
2327.HK	Jiwa Bio-Pharm Holdings Ltd
2328.HK	PICC Property and Casualty Co. Ltd
2329.HK	
2330.HK	Quaypoint Corporation
2331.HK	Li Ning Co. Ltd
2333.HK	Great Wall Motor Co. Ltd
2336.HK	Sunlink International Holdings Ltd
2338.HK	Weichai Power Co. Ltd
2339.HK	Norstar Founders Group Ltd
2340.HK	Synergis Holdings Ltd
2341.HK	EcoGreen Fine Chemicals Group Ltd
2342.HK	Comba Telecom Systems Holdings Ltd
2343.HK	Pacific Basin Shipping Ltd
2345.HK	Shanghai Prime Machinery Co. Ltd
